Gaspar_code	FB_Spec_Code	Class	Order	Family	Bellwood_Floeter	Genus	Species	Genus_and_species	Size	Size_type	Depth_min	Depth_max	Size_class	Diet_2012	Home_range	Activity	Schooling	Level
10706	10706	Actinopterygii_(ray-finned_fishes)	Aulopiformes	Synodontidae	1	Synodus	rubromarmoratus	Synodus_rubromarmoratus	20	TL	5	50	3	FC	M	B	S	B
10707	10707	Actinopterygii_(ray-finned_fishes)	Aulopiformes	Synodontidae	1	Synodus	oculeus	Synodus_oculeus	1.830.999.947	SL	44	96	3	NA	NA	NA	NA	NA
10708	10708	Actinopterygii_(ray-finned_fishes)	Aulopiformes	Synodontidae	1	Synodus	macrocephalus	Synodus_macrocephalus	7.8	SL	51	250	3	FC	M	B	S	B
1071	1071	Actinopterygii_(ray-finned_fishes)	Perciformes	Labridae	1	Lachnolaimus	maximus	Lachnolaimus_maximus	91	TL	3	68	6	IM	M	D	S	L
10715	10715	Actinopterygii_(ray-finned_fishes)	Anguilliformes	Muraenidae	1	Gymnothorax	cribroris	Gymnothorax_cribroris	75	TL	0	NA	5	FC	S	N	S	B
10726	10726	Actinopterygii_(ray-finned_fishes)	Scorpaeniformes	Synanceiidae	1	Minous	coccineus	Minous_coccineus	10	TL	0	50	3	FC	S	N	S	B
10729	10729	Actinopterygii_(ray-finned_fishes)	Anguilliformes	Congridae	1	Lumiconger	arafura	Lumiconger_arafura	26.1	TL	27	104	4	NA	NA	N	S	NA
10734	10734	Actinopterygii_(ray-finned_fishes)	Aulopiformes	Synodontidae	1	Synodus	sageneus	Synodus_sageneus	26	TL	12	30	3	FC	M	B	S	B
10742	10742	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Teixeirichthys	jordani	Teixeirichthys_jordani	14	TL	4	20	3	PK	S	D	L	L
10743	10743	Actinopterygii_(ray-finned_fishes)	Perciformes	Serranidae	1	Giganthias	immaculatus	Giganthias_immaculatus	42	TL	0	NA	5	PK	NA	NA	NA	NA
10744	10744	Actinopterygii_(ray-finned_fishes)	Ophidiiformes	Carapidae	1	Onuxodon	margaritiferae	Onuxodon_margaritiferae	10	TL	0	NA	2	IM	S	N	S	B
10745	10745	Actinopterygii_(ray-finned_fishes)	Batrachoidiformes	Batrachoididae	1	Batrachomoeus	occidentalis	Batrachomoeus_occidentalis	20	TL	0	NA	3	NA	NA	NA	NA	NA
10746	10746	Actinopterygii_(ray-finned_fishes)	Perciformes	Apogonidae	1	Gymnapogon	japonicus	Gymnapogon_japonicus	5	TL	0	NA	1	PK	S	N	L	L
10747	10747	Actinopterygii_(ray-finned_fishes)	Batrachoidiformes	Batrachoididae	1	Batrachomoeus	trispinosus	Batrachomoeus_trispinosus	30	TL	0	NA	4	IM	S	N	S	B
